year,quarter,gouvernorat,gender,education,metric,unit,value,source,is_post_revolution,is_covid_period,is_recent,gender_encoded,education_encoded,is_national,metric_encoded,is_augmented,quarter_num,value_normalized
2009,,Ben Arous,total,all,count_thousands,count,28.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0338
2010,,Ben Arous,total,all,count_thousands,count,26.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0312
2012,,Ben Arous,total,all,count_thousands,count,44.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0542
2013,,Ben Arous,total,all,count_thousands,count,40.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0491
2014,,Ben Arous,total,all,count_thousands,count,32.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0389
2015,,Ben Arous,total,all,count_thousands,count,50.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0619
2016,,Ben Arous,total,all,count_thousands,count,48.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0593
2007,,Nabeul,total,all,count_thousands,count,25.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0299
2008,,Nabeul,total,all,count_thousands,count,23.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0274
2009,,Nabeul,total,all,count_thousands,count,33.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0401
2010,,Nabeul,total,all,count_thousands,count,36.0,regional_annual,0,0,0,0,0,0,0,0,0,0.044
2012,,Nabeul,total,all,count_thousands,count,44.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0542
2013,,Nabeul,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2014,,Nabeul,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2015,,Nabeul,total,all,count_thousands,count,35.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0427
2016,,Nabeul,total,all,count_thousands,count,35.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0427
2007,,Jendouba,total,all,count_thousands,count,25.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0299
2008,,Jendouba,total,all,count_thousands,count,25.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0299
2009,,Jendouba,total,all,count_thousands,count,28.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0338
2010,,Jendouba,total,all,count_thousands,count,23.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0274
2012,,Jendouba,total,all,count_thousands,count,23.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0274
2013,,Jendouba,total,all,count_thousands,count,25.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0299
2014,,Jendouba,total,all,count_thousands,count,30.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0363
2015,,Jendouba,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2016,,Jendouba,total,all,count_thousands,count,24.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0286
2007,,Sousse,total,all,count_thousands,count,24.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0286
2008,,Sousse,total,all,count_thousands,count,34.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0414
2009,,Sousse,total,all,count_thousands,count,33.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0401
2010,,Sousse,total,all,count_thousands,count,29.0,regional_annual,0,0,0,0,0,0,0,0,0,0.035
2012,,Sousse,total,all,count_thousands,count,39.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0478
2013,,Sousse,total,all,count_thousands,count,36.0,regional_annual,1,0,0,0,0,0,0,0,0,0.044
2014,,Sousse,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2015,,Sousse,total,all,count_thousands,count,25.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0299
2016,,Sousse,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2007,,Bizerte,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2008,,Bizerte,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2009,,Bizerte,total,all,count_thousands,count,26.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0312
2010,,Bizerte,total,all,count_thousands,count,27.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0325
2012,,Bizerte,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2013,,Bizerte,total,all,count_thousands,count,23.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0274
2014,,Bizerte,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2015,,Bizerte,total,all,count_thousands,count,20.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0235
2016,,Bizerte,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2007,,L'Ariana,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2008,,L'Ariana,total,all,count_thousands,count,20.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0235
2009,,L'Ariana,total,all,count_thousands,count,21.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0248
2010,,L'Ariana,total,all,count_thousands,count,21.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0248
2012,,L'Ariana,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2013,,L'Ariana,total,all,count_thousands,count,26.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0312
2014,,L'Ariana,total,all,count_thousands,count,26.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0312
2015,,L'Ariana,total,all,count_thousands,count,30.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0363
2016,,L'Ariana,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2007,,Kasserine,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2008,,Kasserine,total,all,count_thousands,count,29.0,regional_annual,0,0,0,0,0,0,0,0,0,0.035
2009,,Kasserine,total,all,count_thousands,count,23.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0274
2010,,Kasserine,total,all,count_thousands,count,26.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0312
2012,,Kasserine,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2013,,Kasserine,total,all,count_thousands,count,28.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0338
2014,,Kasserine,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2015,,Kasserine,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2016,,Kasserine,total,all,count_thousands,count,28.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0338
2007,,Manouba,total,all,count_thousands,count,20.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0235
2008,,Manouba,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2009,,Manouba,total,all,count_thousands,count,21.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0248
2010,,Manouba,total,all,count_thousands,count,21.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0248
2012,,Manouba,total,all,count_thousands,count,39.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0478
2013,,Manouba,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2014,,Manouba,total,all,count_thousands,count,25.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0299
2015,,Manouba,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2016,,Manouba,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2007,,Mahdia,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2008,,Mahdia,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2009,,Mahdia,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2010,,Mahdia,total,all,count_thousands,count,15.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0171
2012,,Mahdia,total,all,count_thousands,count,25.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0299
2013,,Mahdia,total,all,count_thousands,count,21.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0248
2014,,Mahdia,total,all,count_thousands,count,15.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0171
2015,,Mahdia,total,all,count_thousands,count,16.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0184
2016,,Mahdia,total,all,count_thousands,count,18.0,regional_annual,1,0,0,0,0,0,0,0,0,0.021
2007,,Medenine,total,all,count_thousands,count,17.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0197
2008,,Medenine,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2009,,Medenine,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2010,,Medenine,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2012,,Medenine,total,all,count_thousands,count,31.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0376
2013,,Medenine,total,all,count_thousands,count,32.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0389
2014,,Medenine,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2015,,Medenine,total,all,count_thousands,count,30.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0363
2016,,Medenine,total,all,count_thousands,count,33.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0401
2007,,Kairouan,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2008,,Kairouan,total,all,count_thousands,count,14.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0159
2009,,Kairouan,total,all,count_thousands,count,18.0,regional_annual,0,0,0,0,0,0,0,0,0,0.021
2010,,Kairouan,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2012,,Kairouan,total,all,count_thousands,count,28.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0338
2013,,Kairouan,total,all,count_thousands,count,34.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0414
2014,,Kairouan,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2015,,Kairouan,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2016,,Kairouan,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2007,,Monastir,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2008,,Monastir,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2009,,Monastir,total,all,count_thousands,count,17.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0197
2010,,Monastir,total,all,count_thousands,count,11.0,regional_annual,0,0,0,0,0,0,0,0,0,0.012
2012,,Monastir,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2013,,Monastir,total,all,count_thousands,count,16.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0184
2014,,Monastir,total,all,count_thousands,count,19.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0222
2015,,Monastir,total,all,count_thousands,count,13.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0146
2016,,Monastir,total,all,count_thousands,count,15.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0171
2007,,Gab�s,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2008,,Gab�s,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2009,,Gab�s,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2010,,Gab�s,total,all,count_thousands,count,20.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0235
2012,,Gab�s,total,all,count_thousands,count,28.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0338
2013,,Gab�s,total,all,count_thousands,count,26.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0312
2014,,Gab�s,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2015,,Gab�s,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2016,,Gab�s,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2007,,Gafsa,total,all,count_thousands,count,16.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0184
2008,,Gafsa,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2009,,Gafsa,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2010,,Gafsa,total,all,count_thousands,count,30.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0363
2012,,Gafsa,total,all,count_thousands,count,31.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0376
2013,,Gafsa,total,all,count_thousands,count,27.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0325
2014,,Gafsa,total,all,count_thousands,count,29.0,regional_annual,1,0,0,0,0,0,0,0,0,0.035
2015,,Gafsa,total,all,count_thousands,count,30.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0363
2016,,Gafsa,total,all,count_thousands,count,31.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0376
2007,,Kef,total,all,count_thousands,count,14.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0159
2008,,Kef,total,all,count_thousands,count,11.0,regional_annual,0,0,0,0,0,0,0,0,0,0.012
2009,,Kef,total,all,count_thousands,count,12.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0133
2010,,Kef,total,all,count_thousands,count,13.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0146
2012,,Kef,total,all,count_thousands,count,13.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0146
2013,,Kef,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2014,,Kef,total,all,count_thousands,count,16.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0184
2015,,Kef,total,all,count_thousands,count,9.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0095
2016,,Kef,total,all,count_thousands,count,10.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0107
2007,,B�ja,total,all,count_thousands,count,13.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0146
2008,,B�ja,total,all,count_thousands,count,19.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0222
2009,,B�ja,total,all,count_thousands,count,17.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0197
2010,,B�ja,total,all,count_thousands,count,12.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0133
2012,,B�ja,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2013,,B�ja,total,all,count_thousands,count,23.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0274
2014,,B�ja,total,all,count_thousands,count,18.0,regional_annual,1,0,0,0,0,0,0,0,0,0.021
2015,,B�ja,total,all,count_thousands,count,19.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0222
2016,,B�ja,total,all,count_thousands,count,21.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0248
2007,,Siliana,total,all,count_thousands,count,11.0,regional_annual,0,0,0,0,0,0,0,0,0,0.012
2008,,Siliana,total,all,count_thousands,count,11.0,regional_annual,0,0,0,0,0,0,0,0,0,0.012
2009,,Siliana,total,all,count_thousands,count,14.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0159
2010,,Siliana,total,all,count_thousands,count,13.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0146
2012,,Siliana,total,all,count_thousands,count,12.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0133
2013,,Siliana,total,all,count_thousands,count,16.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0184
2014,,Siliana,total,all,count_thousands,count,12.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0133
2015,,Siliana,total,all,count_thousands,count,13.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0146
2016,,Siliana,total,all,count_thousands,count,13.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0146
2007,,Sidi Bouzid,total,all,count_thousands,count,10.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0107
2008,,Sidi Bouzid,total,all,count_thousands,count,8.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0082
2009,,Sidi Bouzid,total,all,count_thousands,count,14.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0159
2010,,Sidi Bouzid,total,all,count_thousands,count,22.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0261
2012,,Sidi Bouzid,total,all,count_thousands,count,39.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0478
2013,,Sidi Bouzid,total,all,count_thousands,count,31.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0376
2014,,Sidi Bouzid,total,all,count_thousands,count,25.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0299
2015,,Sidi Bouzid,total,all,count_thousands,count,19.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0222
2016,,Sidi Bouzid,total,all,count_thousands,count,18.0,regional_annual,1,0,0,0,0,0,0,0,0,0.021
2007,,Tozeur,total,all,count_thousands,count,8.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0082
2008,,Tozeur,total,all,count_thousands,count,9.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0095
2009,,Tozeur,total,all,count_thousands,count,7.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0069
2010,,Tozeur,total,all,count_thousands,count,6.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0056
2012,,Tozeur,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2013,,Tozeur,total,all,count_thousands,count,9.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0095
2014,,Tozeur,total,all,count_thousands,count,6.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0056
2015,,Tozeur,total,all,count_thousands,count,8.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0082
2016,,Tozeur,total,all,count_thousands,count,8.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0082
2007,,K�bili,total,all,count_thousands,count,6.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0056
2008,,K�bili,total,all,count_thousands,count,5.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0043
2009,,K�bili,total,all,count_thousands,count,7.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0069
2010,,K�bili,total,all,count_thousands,count,8.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0082
2012,,K�bili,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2013,,K�bili,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2014,,K�bili,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2015,,K�bili,total,all,count_thousands,count,12.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0133
2016,,K�bili,total,all,count_thousands,count,14.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0159
2007,,Tataouine,total,all,count_thousands,count,5.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0043
2008,,Tataouine,total,all,count_thousands,count,7.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0069
2009,,Tataouine,total,all,count_thousands,count,10.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0107
2010,,Tataouine,total,all,count_thousands,count,9.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0095
2012,,Tataouine,total,all,count_thousands,count,22.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0261
2013,,Tataouine,total,all,count_thousands,count,16.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0184
2014,,Tataouine,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2015,,Tataouine,total,all,count_thousands,count,14.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0159
2016,,Tataouine,total,all,count_thousands,count,15.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0171
2007,,Zaghouan,total,all,count_thousands,count,5.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0043
2008,,Zaghouan,total,all,count_thousands,count,4.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0031
2009,,Zaghouan,total,all,count_thousands,count,6.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0056
2010,,Zaghouan,total,all,count_thousands,count,4.0,regional_annual,0,0,0,0,0,0,0,0,0,0.0031
2012,,Zaghouan,total,all,count_thousands,count,6.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0056
2013,,Zaghouan,total,all,count_thousands,count,5.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0043
2014,,Zaghouan,total,all,count_thousands,count,11.0,regional_annual,1,0,0,0,0,0,0,0,0,0.012
2015,,Zaghouan,total,all,count_thousands,count,8.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0082
2016,,Zaghouan,total,all,count_thousands,count,7.0,regional_annual,1,0,0,0,0,0,0,0,0,0.0069
2023,quatrième-trimestre 2023,national,total,higher_education,rate_pct,percent,23.2,graduates_gender_rate,1,0,1,0,1,1,1,0,4,0.5548
2024,première-trimestre 2024,national,total,higher_education,rate_pct,percent,23.4,graduates_gender_rate,1,0,1,0,1,1,1,0,1,0.5625
2024,deuxième-trimestre 2024,national,total,higher_education,rate_pct,percent,23.0,graduates_gender_rate,1,0,1,0,1,1,1,0,2,0.5471
2024,troisième-trimestre 2024,national,total,higher_education,rate_pct,percent,25.0,graduates_gender_rate,1,0,1,0,1,1,1,0,3,0.6243
2024,quatrième-trimestre 2024,national,total,higher_education,rate_pct,percent,16.7,graduates_gender_rate,1,0,1,0,1,1,1,0,4,0.3039
2025,première-trimestre 2025,national,total,higher_education,rate_pct,percent,23.5,graduates_gender_rate,1,0,1,0,1,1,1,0,1,0.5664
2025,deuxième-trimestre 2025,national,total,higher_education,rate_pct,percent,24.0,graduates_gender_rate,1,0,1,0,1,1,1,0,2,0.5857
2025,troisième-trimestre 2025,national,total,higher_education,rate_pct,percent,24.9,graduates_gender_rate,1,0,1,0,1,1,1,0,3,0.6205
2023,quatrième-trimestre 2023,national,male,higher_education,rate_pct,percent,12.3,graduates_gender_rate,1,0,1,1,1,1,1,0,4,0.134
2024,première-trimestre 2024,national,male,higher_education,rate_pct,percent,13.8,graduates_gender_rate,1,0,1,1,1,1,1,0,1,0.1919
2024,deuxième-trimestre 2024,national,male,higher_education,rate_pct,percent,13.4,graduates_gender_rate,1,0,1,1,1,1,1,0,2,0.1764
2024,troisième-trimestre 2024,national,male,higher_education,rate_pct,percent,17.0,graduates_gender_rate,1,0,1,1,1,1,1,0,3,0.3154
2024,quatrième-trimestre 2024,national,male,higher_education,rate_pct,percent,9.3,graduates_gender_rate,1,0,1,1,1,1,1,0,4,0.0181
2025,première-trimestre 2025,national,male,higher_education,rate_pct,percent,13.6,graduates_gender_rate,1,0,1,1,1,1,1,0,1,0.1842
2025,deuxième-trimestre 2025,national,male,higher_education,rate_pct,percent,14.2,graduates_gender_rate,1,0,1,1,1,1,1,0,2,0.2073
2025,troisième-trimestre 2025,national,male,higher_education,rate_pct,percent,14.5,graduates_gender_rate,1,0,1,1,1,1,1,0,3,0.2189
2023,quatrième-trimestre 2023,national,female,higher_education,rate_pct,percent,33.0,graduates_gender_rate,1,0,1,2,1,1,1,0,4,0.9332
2024,première-trimestre 2024,national,female,higher_education,rate_pct,percent,31.2,graduates_gender_rate,1,0,1,2,1,1,1,0,1,0.8637
2024,deuxième-trimestre 2024,national,female,higher_education,rate_pct,percent,30.6,graduates_gender_rate,1,0,1,2,1,1,1,0,2,0.8405
2024,troisième-trimestre 2024,national,female,higher_education,rate_pct,percent,31.6,graduates_gender_rate,1,0,1,2,1,1,1,0,3,0.8792
2024,quatrième-trimestre 2024,national,female,higher_education,rate_pct,percent,22.9,graduates_gender_rate,1,0,1,2,1,1,1,0,4,0.5432
2025,première-trimestre 2025,national,female,higher_education,rate_pct,percent,30.7,graduates_gender_rate,1,0,1,2,1,1,1,0,1,0.8444
2025,deuxième-trimestre 2025,national,female,higher_education,rate_pct,percent,31.3,graduates_gender_rate,1,0,1,2,1,1,1,0,2,0.8676
2025,troisième-trimestre 2025,national,female,higher_education,rate_pct,percent,32.3,graduates_gender_rate,1,0,1,2,1,1,1,0,3,0.9062
2024,première-trimestre 2024,national,total,all,rate_pct,percent,16.2,general_gender_rate,1,0,1,0,0,1,1,0,1,0.2846
2024,deuxième-trimestre 2024,national,total,all,rate_pct,percent,16.0,general_gender_rate,1,0,1,0,0,1,1,0,2,0.2768
2024,troisième-trimestre 2024,national,total,all,rate_pct,percent,16.0,general_gender_rate,1,0,1,0,0,1,1,0,3,0.2768
2024,quatrième-trimestre 2024,national,total,all,rate_pct,percent,16.5,general_gender_rate,1,0,1,0,0,1,1,0,4,0.2961
2025,première-trimestre 2025,national,total,all,rate_pct,percent,15.7,general_gender_rate,1,0,1,0,0,1,1,0,1,0.2653
